Location,Year,Loc_yr,Treat,MAP,PAR_Above$umol.m-2.s-1,PAR_Below$umol.m-2.s-1,Tau,Beam_Frac_FB,Z_Angle,leaf_angle_distr,kext,LAI,FLI,ln_FLI,FLI_pcent
Benue,2017,Benue_2017,CONTROL,2.5,1062.177778,546.2444444,0.504111111,0.447777778,28.38888889,1.985010707,0.752430445,0.882495019,0.485731621,0.665010011,48.57316207
Benue,2017,Benue_2017,N0PFKF,2.5,824.1222222,366.3166667,0.413888889,0.192777778,21.66666667,1.752873563,0.706215259,1.095851649,0.555506869,0.810820678,55.55068692
Benue,2017,Benue_2017,NFP0KF,2.5,1157.277778,495.5388889,0.408222222,0.535,30.05555556,1.86,0.740207944,1.184028264,0.571806442,0.848179948,57.18064424
Benue,2017,Benue_2017,NFPFK0,2.5,652.7583333,187.05,0.2955,0.010833333,15.08333333,1.785063752,0.70220382,1.462225485,0.713446784,1.249831013,71.34467835
Benue,2017,Benue_2017,NFPFK1,2.5,458.175,76.44166667,0.174416667,0.006666667,29.83333333,1.572056239,0.696667027,2.093078622,0.833160546,1.790723284,83.31605464
Benue,2017,Benue_2017,NFPFK2,2.5,906.2333333,285.0291667,0.297375,0.295,27.875,1.619377163,0.698463611,1.544170528,0.685479273,1.156705301,68.54792731
Benue,2017,Benue_2017,NFPFK3,2.5,897.2111111,239.7222222,0.255388889,0.262222222,21.33333333,1.624203822,0.683843599,1.73226858,0.732814029,1.319810341,73.28140287
Benue,2017,Benue_2017,NFPFK4,2.5,1312.779167,440.2916667,0.342541667,0.47125,31.45833333,1.778225806,0.73303803,1.400569108,0.664611019,1.092464284,66.46110193
Benue,2017,Benue_2017,NFPFKF,2.5,1477.966667,439.0444444,0.288666667,0.596111111,25.83333333,1.703327172,0.706785941,1.70587938,0.702940226,1.2138219,70.29402258
Benue,2017,Benue_2017,NFPFKFMN,2.5,1161.083333,159.3777778,0.146833333,0.352777778,18.55555556,1.717153285,0.695290194,2.480205166,0.862733558,1.985831411,86.27335582
Benue,2017,Benue_2017,NOTFR,2.5,1036.472222,343.4277778,0.317333333,0.406666667,28.88888889,1.846938776,0.735451729,1.477519313,0.668657036,1.104601296,66.86570363
Benue,2017,Benue_2017,NOTHR,2.5,1186.216667,543.5277778,0.4365,0.451111111,25.22222222,1.850340136,0.727722946,1.081566532,0.541797217,0.780443436,54.17972172
Benue,2017,Benue_2017,CONTROL,4,1033.966667,402.9944444,0.359166667,0.421111111,37.44444444,1.397905759,0.70261477,1.342650634,0.610244259,0.942235041,61.02442591
Benue,2017,Benue_2017,N0PFKF,4,1023.944444,356.7944444,0.348888889,0.516111111,42.5,1.240352811,0.716547592,1.40463554,0.651549021,1.05425772,65.15490206
Benue,2017,Benue_2017,NFP0KF,4,975.0944444,317.1111111,0.278666667,0.354444444,38.83333333,1.181960375,0.677675438,1.664729572,0.674789337,1.123282112,67.47893366
Benue,2017,Benue_2017,NFPFK0,4,922.0555556,206.0777778,0.197333333,0.346111111,42,1.004568106,0.678775671,2.108597709,0.776501777,1.498351818,77.65017774
Benue,2017,Benue_2017,NFPFK1,4,979.7222222,140.3611111,0.140388889,0.416111111,42.11111111,1.044532628,0.685720034,2.592381224,0.856733768,1.943050618,85.67337681
Benue,2017,Benue_2017,NFPFK2,4,1329.516667,159.2083333,0.095833333,0.675833333,33.5,1.116302187,0.628790689,3.544618569,0.880250968,2.12235713,88.02509685
Benue,2017,Benue_2017,NFPFK3,4,943.7833333,168.1111111,0.1545,0.419444444,43.94444444,1.051207327,0.706378317,2.443308573,0.821875313,1.725271484,82.18753127
Benue,2017,Benue_2017,NFPFK4,4,1035.972222,198.8,0.164777778,0.505,42.44444444,1.133366633,0.701557385,2.41963808,0.808102963,1.650796315,80.81029628
Benue,2017,Benue_2017,NFPFKF,4,970.3666667,174.6888889,0.167333333,0.375,39.11111111,1.165674603,0.677190909,2.34306178,0.819976412,1.714667393,81.99764121
Benue,2017,Benue_2017,NFPFKFMN,4,952.6222222,86.53333333,0.064555556,0.375,41.66666667,1.094594595,0.68854382,3.573186043,0.909163012,2.39868872,90.9163012
Benue,2017,Benue_2017,NOTFR,4,996.7666667,245.7666667,0.202388889,0.388888889,39.5,1.198347107,0.685464858,2.093889816,0.75343611,1.400134131,75.34361101
Benue,2017,Benue_2017,NOTHR,4,1072.722222,330.3444444,0.265777778,0.544444444,42.44444444,1.335830212,0.728526922,1.767653021,0.692050339,1.177818948,69.20503392
Benue,2017,Benue_2017,CONTROL,8,1513.588889,1171.827778,0.770833333,0.73,23.27777778,1.529624277,0.670717043,0.386184002,0.225795203,0.255918845,22.57952034
Benue,2017,Benue_2017,N0PFKF,8,1596.877778,1192.494444,0.747611111,0.791111111,23.66666667,0.908101045,0.52407247,0.534151189,0.253233741,0.292003049,25.32337412
Benue,2017,Benue_2017,NFP0KF,8,1555.211111,1136.188889,0.730055556,0.748333333,22.33333333,1.227173913,0.603982204,0.506130494,0.269431088,0.313931717,26.94310882
Benue,2017,Benue_2017,NFPFK0,8,1246.216667,858.2833333,0.680722222,0.533333333,24.44444444,1.27826087,0.622402058,0.549963171,0.311288834,0.372933304,31.12888344
Benue,2017,Benue_2017,NFPFK1,8,1734.133333,1243.833333,0.716916667,0.833333333,21.41666667,1.220547945,0.599677714,0.564161258,0.282734892,0.33230976,28.27348916
Benue,2017,Benue_2017,NFPFK2,8,1431.505556,996.9111111,0.692111111,0.686666667,23.66666667,1.202108158,0.602233972,0.574634728,0.303592566,0.361820396,30.35925659
Benue,2017,Benue_2017,NFPFK3,8,1484.416667,978.3111111,0.665277778,0.647222222,24.66666667,1.330383481,0.634509715,0.604952515,0.340945751,0.416949428,34.09457514
Benue,2017,Benue_2017,NFPFK4,8,1513.4375,1101.904167,0.723625,0.7525,24.5,1.076889661,0.574166597,0.540890508,0.271919609,0.317343809,27.19196088
Benue,2017,Benue_2017,NFPFKF,8,1546.777778,1053.788889,0.682888889,0.725555556,24.27777778,1.187662902,0.600879623,0.608466559,0.31871992,0.383781779,31.87199196
Benue,2017,Benue_2017,NFPFKFMN,8,1662.916667,977.6388889,0.589611111,0.824444444,24.77777778,1.139235856,0.59096456,0.90145161,0.412093878,0.531188,41.2093878
Benue,2017,Benue_2017,NOTFR,8,1602.316667,1207.866667,0.754777778,0.787222222,23.22222222,1.232199787,0.607925034,0.459850055,0.246174809,0.28259478,24.61748093
Benue,2017,Benue_2017,NOTHR,8,1554.288889,1175.283333,0.757444444,0.764444444,23.27777778,1.230981257,0.607814515,0.448656239,0.243844988,0.279508882,24.38449883
Benue,2017,Benue_2017,CONTROL,10,1142.805556,640.1444444,0.527,0.463888889,27.77777778,2.033898305,0.757202841,0.826071855,0.439848327,0.579547687,43.98483267
Benue,2017,Benue_2017,N0PFKF,10,1337.661111,711.2666667,0.520388889,0.710555556,29.72222222,2.518939394,0.810363508,0.854479327,0.468275888,0.63163051,46.82758878
Benue,2017,Benue_2017,NFP0KF,10,1382.116667,642.5944444,0.4585,0.721666667,28.38888889,2.526645768,0.808971708,1.023249236,0.535064977,0.765857619,53.5064977
Benue,2017,Benue_2017,NFPFK0,10,1110.816667,478.7666667,0.424444444,0.489444444,28.77777778,2.611607143,0.816651252,1.079499128,0.568995784,0.841637407,56.8995784
Benue,2017,Benue_2017,NFPFK1,10,1209.688889,517.3722222,0.423444444,0.615555556,31,2.801115242,0.834164469,1.090518467,0.572309685,0.849355908,57.23096848
Benue,2017,Benue_2017,NFPFK2,10,1145.838889,478.7833333,0.402166667,0.529444444,32.72222222,3.022033898,0.850954955,1.13464764,0.582154753,0.872644138,58.21547533
Benue,2017,Benue_2017,NFPFK3,10,989.8444444,433.7277778,0.419944444,0.377777778,29.83333333,2.881944444,0.838132198,1.070374158,0.561822284,0.825130707,56.1822284
Benue,2017,Benue_2017,NFPFK4,10,1237.088889,516.5611111,0.414777778,0.629444444,29.83333333,2.442060086,0.803816884,1.140100121,0.582438161,0.873322629,58.24381613
Benue,2017,Benue_2017,NFPFKF,10,1446.391667,638.9666667,0.441833333,0.691666667,19.58333333,2.72173913,0.815860138,1.060815297,0.558233996,0.81697494,55.82339962
Benue,2017,Benue_2017,NFPFKFMN,10,843.1083333,333.25,0.395833333,0.310833333,38.41666667,2.651670951,0.837959799,1.136330445,0.604736442,0.9282025,60.47364415
Benue,2017,Benue_2017,NOTFR,10,1176.633333,491.7277778,0.422277778,0.534444444,28.33333333,2.586397059,0.813948277,1.094068809,0.5820892,0.872487266,58.20891997
