Location,Year,Loc_yr,Treatment,Harvest number,Replicate,BiomassDM$gm-2,RootDM$gm-2,Cum_PAR$MJm-2
Benue,2017,Benue_2017,NfPfKf,1,1,718.9676526,441.8181819,600
Benue,2017,Benue_2017,NfPfKf,1,2,880.5505805,477.5976563,600
Benue,2017,Benue_2017,NfPfKf,1,3,758.8472742,459.8828125,600
Benue,2017,Benue_2017,NfPfKf,2,1,1010.564,539.609375,1154
Benue,2017,Benue_2017,NfPfKf,2,2,1174.75605,527.96875,1154
Benue,2017,Benue_2017,NfPfKf,2,3,846.3711845,551.25,1154
Benue,2017,Benue_2017,NfPfKf,3,1,2231.278,1345.9375,1757
Benue,2017,Benue_2017,NfPfKf,3,2,2248.3152,1306.5625,1757
Benue,2017,Benue_2017,NfPfKf,3,3,2214.241539,1385.3125,1757
Edo,2017,Edo_2017,NfPfKf,1,1,1731.04983,908.984375,596
Edo,2017,Edo_2017,NfPfKf,1,2,1716.833859,884.9609375,596
Edo,2017,Edo_2017,NfPfKf,1,3,2008.25994,1296.875,596
Edo,2017,Edo_2017,NfPfKf,2,1,2503.354751,914.375,1275
Edo,2017,Edo_2017,NfPfKf,2,2,3051.454499,1274.492188,1275
Edo,2017,Edo_2017,NfPfKf,2,3,3134.291684,1226.875,1275
Edo,2017,Edo_2017,NfPfKf,3,1,4383.015592,2229.5625,2139
Edo,2017,Edo_2017,NfPfKf,3,2,4724.876502,2130.515625,2139
Edo,2017,Edo_2017,NfPfKf,3,3,4682.138325,2338.875,2139
Benue,2016,Benue_2016,NfPfKf,1,1,673.4530617,432,326
Benue,2016,Benue_2016,NfPfKf,1,2,231.39813,127.5,326
Benue,2016,Benue_2016,NfPfKf,1,3,682.4336562,418.5,326
Benue,2016,Benue_2016,NfPfKf,2,1,261.6013983,196.875,610
Benue,2016,Benue_2016,NfPfKf,2,2,466.4534578,371.3541668,610
Benue,2016,Benue_2016,NfPfKf,2,3,739.4418879,574.1145832,610
Benue,2016,Benue_2016,NfPfKf,3,1,3440.807292,2226.328125,1600
Benue,2016,Benue_2016,NfPfKf,3,2,3347.591146,2150.585938,1600
Benue,2016,Benue_2016,NfPfKf,3,3,4119.707031,3277.441406,1600
Edo,2016,Edo_2016,NfPfKf,1,1,1456.898279,749.375,541
Edo,2016,Edo_2016,NfPfKf,1,2,2091.473915,1036,541
Edo,2016,Edo_2016,NfPfKf,1,3,1533.052254,630,541
Edo,2016,Edo_2016,NfPfKf,2,1,3442.453135,1838.28125,1288
Edo,2016,Edo_2016,NfPfKf,2,2,3721.001757,1818.085417,1288
Edo,2016,Edo_2016,NfPfKf,2,3,4237.52691,1763.802083,1288
Edo,2016,Edo_2016,NfPfKf,3,1,6253.857163,3646.875,2542
Edo,2016,Edo_2016,NfPfKf,3,2,8369.698946,4698.75,2542
Edo,2016,Edo_2016,NfPfKf,3,3,5922.06428,3447,2542
